var_orig,label_orig,type_orig,var_new,type_new,label_new,keep
interview__key,Interview key (identifier in XX-XX-XX-XX format),character,interview__key,character,Clé entretien,1
interview__id,Unique 32-character long identifier of the interview,character,interview__id,character,Identifiant entretien,1
membres__id,Id in membres,numeric,membres__id,character,Identifiant membre,1
NOM_PRENOMS,Roster list question,character,,,,0
s01q02,1.01. Quel est le sexe de %rostertitle%,labelled,genre,numeric,"Genre (1=Masculin, 2=Féminin)",1
sexe,Sexe,character,,,,0
genre,genre,character,,,,0
s01q03,1.03. Quel est le lien de parenté de  %rostertitle%  avec le chef de ménage?,labelled,lien_parente,factor,Lien de parenté avec le CM,1
s01q03_autre,Autre lien de parenté avec le chef de ménage,character,,,,0
s01q04a,"1.04a. Quelle est la date de naissance de  %rostertitle%  ?

Jour de naissance",labelled,,,,0
s01q04b,1.04b. Mois de naissance,labelled,,,,0
s01q04c,"1.04c. Année de naissance

Age de la présente personne: %AgeAnnee%",labelled,,,,0
AgeAnnee,Calculated variable of type LongInteger,numeric,age,numeric,Âge en années révolues,1
s01q04,1.04 Quel âge avait [NOM] à son dernier anniversaire?,numeric,,,,0
s01q05,1.05 Quelle est votre situation matrimoniale ?,labelled,sit_matrimoniale,numeric,Situation matrimoniale,1
s01q05_autre,Autre situation matrimoniale,character,,,,0
s01q06,1.06.  %rostertitle%  est-il présent au moment de l'enquête?,labelled,present_enquete,numeric,Présent lors de l'enquête,1
consentement_ind,Consentement,labelled,consentement_ind,numeric,A donné son consentement individuel,1
s02q0a,2.0a Quel est votre âge ?,labelled,,,,0
s02q0b,2.0b Quelle est votre situation matrimoniale?,labelled,,,,0
s02q0b_autres,Préciser l'autre situation matrimoniale,character,,,,0
s02q01,langues,labelled,,,,0
s02q02__1,Langue:Francais,numeric,,,,0
s02q02__2,Langue:Anglais,numeric,,,,0
s02q02__3,Langue:Portugais,numeric,,,,0
s02q02__4,Langue:Arabe,numeric,,,,0
s02q02__5,Langue:Langues locales,numeric,,,,0
s02q02__96,Langue:Autres (spécifier),numeric,,,,0
s02q02_autre,Autres langues,character,,,,0
s02q03,Niveau d'education,labelled,niv_etudes,numeric,Niveau d'études atteint,1
s02q03_autre,Autres langues,character,,,,0
s02q04__1,document d'identification:Passeport,numeric,,,,0
s02q04__2,document d'identification:Carte d'identité nationale,numeric,,,,0
s02q04__3,document d'identification:Permis de conduire,numeric,,,,0
s02q04__4,document d'identification:Carte professionnelle,numeric,,,,0
s02q04__5,document d'identification:Carte consulaire,numeric,,,,0
s02q04__6,document d'identification:Aucun document,numeric,,,,0
s02q04__96,document d'identification:Autres (Préciser),numeric,,,,0
s02q04_autre,Autres document d'identification,character,,,,0
s02q05__1,documents de preuve de résidence:Certificat de résidence,numeric,,,,0
s02q05__2,"documents de preuve de résidence:Factures d’électricité, d’eau",numeric,,,,0
s02q05__3,documents de preuve de résidence:Contrat de bail,numeric,,,,0
s02q05__4,documents de preuve de résidence:Titre de propriété,numeric,,,,0
s02q05__5,documents de preuve de résidence:Preuve de revenu (bulletin de salaire),numeric,,,,0
s02q05__6,documents de preuve de résidence:Aucun document,numeric,,,,0
s02q05__96,documents de preuve de résidence:Autres (Préciser),numeric,,,,0
s02q05_autre,autres documents de preuve de résidence,character,,,,0
s02q06,Activité excercée,labelled,actif_occupe,numeric,Exerce une activité principale (1=Oui),1
s02q07,activité,labelled,secteur_isic_p,numeric,Secteur ISIC Rev.4 emploi principal,1
s02q07_autres,Préciser l'activité,character,,,,0
s02q07a,2.07a - Pouvez vous faire une description de cette activité,character,,,,0
