var_orig,label_orig,type_orig,var_new,type_new,label_new,keep
interview__key,Interview key (identifier in XX-XX-XX-XX format),character,interview__key,character,Clé entretien,1
interview__id,Unique 32-character long identifier of the interview,character,interview__id,character,Identifiant entretien,1
s00q00,Pays,character,,,,0
s00q01,Région,labelled,region,numeric,Région,1
s00q02,Département,labelled,departement,numeric,Département,1
s00q03,Commune,labelled,commune,numeric,Commune,1
s00q04,Milieu de résidence,labelled,milieu,numeric,"Milieu de résidence (1=Urbain, 2=Rural)",1
s00q05,Village/Secteur,character,,,,0
dr,DR,character,dr,character,District de recensement,1
s00q06,Numéro du ménage dans la DR,character,,,,0
grappe,Grappe,numeric,grappe,numeric,Identifiant grappe,1
num_menage,Numero ménage dans la concession,character,num_menage,numeric,Numéro du ménage dans la grappe,1
consentement,consentement,labelled,,,,0
menage,Menage,numeric,,,,0
chef_menage,Nom du chef de,character,,,,0
gps__Latitude,Coordonnées GPS: Latitude,numeric,latitude,numeric,Latitude GPS,1
gps__Longitude,Coordonnées GPS: Longitude,numeric,longitude,numeric,Longitude GPS,1
gps__Accuracy,Coordonnées GPS: Accuracy,numeric,,,,0
gps__Altitude,Coordonnées GPS: Altitude,numeric,,,,0
gps__Timestamp,Coordonnées GPS: Timestamp,character,,,,0
localisation,Adresse (localisation) du ménage,character,,,,0
s00q10,Résultat de l'interview,labelled,,,,0
s00q11,0.11 . Motif,labelled,,,,0
repondant,Prénoms et nom du répondant,character,,,,0
lien_repondant,Lien de parenté du répondant avec le chef de ménage,labelled,,,,0
lien_repondant_autre,Autre lien de parenté,character,,,,0
s00q12,0.12 - Premier numéro de téléphone portable du chef de ménage,character,,,,0
s00q12b,0.12b - Deuxième numéro de téléphone portable du chef de ménage,character,,,,0
s00q13,0.13 - Nom d'un autre membre du ménage possédant un numéro de téléphone portable,character,,,,0
s00q14,0.14 - Numéro de téléphone portable de cet autre membre du ménage,character,,,,0
s00q15,0.15 - Nom d'un premier contact non membre du ménage possédant un numéro de télé,character,,,,0
s00q16,0.16 - Numéro de téléphone portable de cette autre personne,character,,,,0
s00q17,0.17 - Nom d'un second contact non membre du ménage possédant un numéro de télép,character,,,,0
s00q18,0.18 - Numéro de téléphone portable de cette  autre personne,character,,,,0
s00q19,00.19 Adresse email&nbsp;:,character,,,,0
s00q20,00.20 Deuxième adresse email ou celle d'un proche&nbsp;:,character,,,,0
s01aq01,1a.01 - Quel est le statut d'occupation du logement de votre ménage,labelled,statut_logement,numeric,Statut d'occupation du logement,1
s01aq01_autre,autres évènements,character,,,,0
s01aq02__1,"1a.02- Si propriétaire, comment avez-vous acquis votre maison (sources de financ",numeric,,,,0
s01aq02__2,"1a.02- Si propriétaire, comment avez-vous acquis votre maison (sources de financ",numeric,,,,0
s01aq02__3,"1a.02- Si propriétaire, comment avez-vous acquis votre maison (sources de financ",numeric,,,,0
s01aq02__4,"1a.02- Si propriétaire, comment avez-vous acquis votre maison (sources de financ",numeric,,,,0
s01aq02__96,"1a.02- Si propriétaire, comment avez-vous acquis votre maison (sources de financ",numeric,,,,0
s01aq02_autre,autres évènements,character,,,,0
s01aq03,1a.03 -Quelle est la source principale d’approvisionnement en eau de boisson de,labelled,source_eau,numeric,Source principale d'eau de boisson,1
s01aq03_autre,autres évènements,character,,,,0
s01aq04__1,1a.04 -	Quelles sont les sources d’énergie(mode d'éclairages) que vous utilisez,numeric,s01aq04__1,numeric,Choix multiple : s01aq04__1,1
s01aq04__2,1a.04 -	Quelles sont les sources d’énergie(mode d'éclairages) que vous utilisez,numeric,s01aq04__2,numeric,Choix multiple : s01aq04__2,1
